id,transfer date,month,year,transfer season,from club name,to club name,transfer fee,market value,player name,,country,position,team,league,age,birth year,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
193004,2024,7,8,24/25,VfB Stuttgart,Bor. Dortmund,22500000,20000000,Waldemar Anton,,de GER,DF,Stuttgart,de Bundesliga,27,1996,33,32,2886,32.1,0,3,3,0,0,0,7,0,1.7,1.7,1,2.7,38,172,15,0,0.09,0.09,0,0.09,0.05,0.03,0.09,0.05,0.09
926135,2024,7,1,24/25,Aston Villa U21,Chelsea,22500000,1000000,Omari Kellyman,,eng ENG,FW,Aston Villa,eng Premier League,17,2005,2,0,37,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,0,0,0,0,0,0,0,0.17,0,0.17,0.17,0.17
427568,2024,8,30,24/25,Arsenal,Southampton,21400000,25000000,Aaron Ramsdale,,eng ENG,GK,Arsenal,eng Premier League,25,1998,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
335457,2024,7,16,24/25,FC Augsburg,VfB Stuttgart,21000000,28000000,Ermedin Demirovic,,ba BIH,"FW,MF",Augsburg,de Bundesliga,25,1998,33,33,2873,31.9,15,9,24,12,3,4,7,0,13.5,10.3,3.9,14.2,28,60,167,0.47,0.28,0.75,0.38,0.66,0.42,0.12,0.54,0.32,0.45
554903,2024,8,8,24/25,Genoa,Atalanta BC,20900000,16000000,Mateo Retegui,,it ITA,FW,Genoa,it Serie A,24,1999,29,26,2216,24.6,7,2,9,6,1,1,5,0,5.8,5,0.7,5.8,18,17,112,0.28,0.08,0.37,0.24,0.32,0.24,0.03,0.27,0.2,0.24
463618,2024,7,10,24/25,OGC Nice,Juventus,20600000,35000000,Khéphren Thuram,,fr FRA,MF,Nice,fr Ligue 1,22,2001,27,25,2108,23.4,1,1,2,1,0,0,7,0,3.4,3.4,3.7,7,67,104,57,0.04,0.04,0.09,0.04,0.09,0.14,0.16,0.3,0.14,0.3
683895,2025,1,9,24/25,Stade Reims,Wolves,20000000,10000000,Emmanuel Agbadou,,ci CIV,DF,Reims,fr Ligue 1,26,1997,32,29,2596,28.8,1,1,2,1,0,0,1,0,2.4,2.4,1.5,3.8,42,179,19,0.03,0.03,0.07,0.03,0.07,0.08,0.05,0.13,0.08,0.13
357992,2024,8,22,24/25,Torino,Atalanta BC,20000000,15000000,Raoul Bellanova,,it ITA,DF,Torino,it Serie A,23,2000,37,36,3046,33.8,1,7,8,1,0,0,5,0,2,2,5,7.1,141,98,202,0.03,0.21,0.24,0.03,0.24,0.06,0.15,0.21,0.06,0.21
569598,2024,8,17,24/25,Monaco,AC Milan,20000000,30000000,Youssouf Fofana,,fr FRA,MF,Monaco,fr Ligue 1,24,1999,32,31,2697,30,4,4,8,4,0,0,3,0,5,5,3.4,8.4,53,249,86,0.13,0.13,0.27,0.13,0.27,0.17,0.11,0.28,0.17,0.28
442891,2024,7,18,24/25,Stade Rennais,B. Leverkusen,20000000,20000000,Martin Terrier,,fr FRA,"FW,MF",Rennes,fr Ligue 1,26,1997,24,19,1527,17,7,3,10,7,0,0,2,1,5.2,5.2,2.6,7.8,28,58,112,0.41,0.18,0.59,0.41,0.59,0.31,0.15,0.46,0.31,0.46
711544,2024,7,30,24/25,Olympique Lyon,Everton,19500000,12000000,Jake O'Brien,,ie IRL,DF,Lyon,fr Ligue 1,22,2001,27,27,2369,26.3,4,2,6,4,0,0,4,1,3.6,3.6,1.1,4.7,15,68,2,0.15,0.08,0.23,0.15,0.23,0.14,0.04,0.18,0.14,0.18
433049,2024,7,24,24/25,Sevilla FC,Fenerbahce,19500000,20000000,Youssef En,,ma MAR,FW,Sevilla,es La Liga,26,1997,33,28,2570,28.6,16,2,18,15,1,1,4,0,10.8,10,1.3,11.3,17,17,81,0.56,0.07,0.63,0.53,0.6,0.38,0.04,0.42,0.35,0.4
418659,2025,1,31,24/25,Stade Rennais,Marseille,19000000,20000000,Amine Gouiri,,dz ALG,"FW,MF",Rennes,fr Ligue 1,23,2000,31,24,2067,23,7,3,10,7,0,0,2,0,7.4,7.3,1.7,9.1,59,82,185,0.3,0.13,0.44,0.3,0.44,0.32,0.08,0.4,0.32,0.39
